district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model,errors_short,gun_owner_fraction_right_only,for_assault_weapon_ban_True_full_sample_mean,for_assault_weapon_ban_True_full_sample_stderr,for_large_magazine_ban_True_full_sample_mean,for_large_magazine_ban_True_full_sample_stderr,for_background_checks_True_full_sample_mean,for_background_checks_True_full_sample_stderr,for_safe_storage_laws_True_full_sample_mean,for_safe_storage_laws_True_full_sample_stderr
AZ-5,-23.90548,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.5145274,0.2754726,0.0,0.0,house,baseline,None,0.38276913845692284,0.6657332866643333,0.04134926278180611,0.6138806940347017,0.04267502806092933,0.8445672283614181,0.03175846312450436,0.8073653682684134,0.03456792499249087
AZ-6,-6.932475,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.429662375,0.360337625,0.0,0.0,house,baseline,None,0.36676833841692086,0.6860593029651483,0.04067950944868733,0.6428821441072053,0.04199934657174303,0.8543427171358567,0.030920978736875996,0.8183159157957898,0.03379792285122203
AZ-7,27.01756,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.2599122,0.5300878,0.0,0.0,house,baseline,None,0.32821641082054104,0.7164858242912147,0.03950592724347753,0.6792839641982099,0.04091260076584646,0.8656682834141707,0.02989070128683345,0.832241612080604,0.03275200597929587
AZ-8,-21.53168,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.5026584000000001,0.2873416,0.0,0.0,house,baseline,None,0.3722686134306715,0.6711335566778338,0.041179903726934995,0.6226061303065153,0.042488870489438606,0.8508175408770438,0.031228287396355196,0.8066653332666633,0.034615661309516814
AZ-9,-33.10751,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.56053755,0.22946245,0.0,0.0,house,baseline,None,0.38686934346717333,0.6453572678633932,0.041934039881508185,0.5948047402370118,0.043031893623584866,0.8384669233461672,0.03225854456546691,0.799389969498475,0.03510158589871627
CA-1,-24.24,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.5162,0.2738,0.0,0.0,house,baseline,None,0.19095,0.690925,0.040505916373562025,0.6361749999999999,0.042170197737051225,0.849275,0.03136085434929986,0.8065,0.03462691012493029
CA-2,44.6589,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1717055,0.6182945,0.0,0.0,house,baseline,None,0.15420771038551928,0.7659382969148457,0.03711360506052342,0.7198109905495275,0.03936460100625064,0.8732686634331717,0.02915996610489396,0.8532676633831691,0.031015345939800477
CA-3,-7.48173,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.43240865,0.35759135,0.0,0.0,house,baseline,None,0.17470873543677184,0.7132606630331517,0.03964047446480883,0.6619830991549578,0.04146328700475776,0.8558677933896695,0.03078611795316844,0.8121656082804141,0.03423583487982673
CA-4,31.46477,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.23767615,0.5523238500000001,0.0,0.0,house,baseline,None,0.15940797039851992,0.747312365618281,0.03809027851799701,0.6955597779888995,0.04033567362550508,0.8718185909295464,0.029301958759888478,0.8415170758537927,0.03201059697775397
CA-5,-16.82833,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.47914165,0.31085835,0.0,0.0,house,baseline,None,0.19270963548177408,0.7019850992549628,0.04009165695749438,0.6448822441122056,0.04194666838560671,0.8466673333666683,0.0315823771469313,0.8238411920596029,0.03339219762583217
CA-6,14.1761,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.3241195,0.4658805,0.0,0.0,house,baseline,None,0.16670833541677083,0.7313365668283414,0.03885384413324298,0.6827341367068354,0.04079515159082904,0.863093154657733,0.030130926563049342,0.8318915945797289,0.03277926049894485
CA-7,33.91067,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.22544665,0.5645533500000001,0.0,0.0,house,baseline,None,0.15750787539376968,0.7518125906295314,0.03786306259140763,0.7083354167708384,0.03984119862612688,0.8713435671783589,0.02934820450967148,0.8467673383669183,0.03157394083550079
CA-8,50.61904,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1419048,0.6480952,0.0,0.0,house,baseline,None,0.1503575178758938,0.7715885794289714,0.0367978862045322,0.7286114305715286,0.0389775767317654,0.8820441022051102,0.0282732705901624,0.8541677083854193,0.03093638001541545
