district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model,errors_short,gun_owner_fraction_right_only,for_assault_weapon_ban_True_full_sample_mean,for_assault_weapon_ban_True_full_sample_stderr,for_large_magazine_ban_True_full_sample_mean,for_large_magazine_ban_True_full_sample_stderr,for_background_checks_True_full_sample_mean,for_background_checks_True_full_sample_stderr,for_safe_storage_laws_True_full_sample_mean,for_safe_storage_laws_True_full_sample_stderr
AZ-5,-23.90548,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.6195274,0.3804726,0.0,0.0,house,without_center,None,0.37576878843942196,0.672183609180459,0.041146259481250454,0.6412570628531427,0.04204156068304,0.8399669983499174,0.03213712014573086,0.820966048302415,0.03360480398061936
AZ-6,-6.932475,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.534662375,0.465337625,0.0,0.0,house,without_center,None,0.36036801840092003,0.6872843642182109,0.04063629452293828,0.664833241662083,0.0413768954220995,0.8464423221161058,0.031601341722896144,0.832091604580229,0.032763692781748836
AZ-7,27.01756,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.3649122,0.6350878,0.0,0.0,house,without_center,None,0.3320666033301665,0.727986399319966,0.03900569420346751,0.7066603330166508,0.03990817090169402,0.8531176558827942,0.031028467887168194,0.8426921346067304,0.03191396455270159
AZ-8,-21.53168,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.6076584,0.3923416,0.0,0.0,house,without_center,None,0.3712685634281714,0.6797839891994599,0.04089573861666453,0.6475073753687685,0.041876313865767054,0.8274163708185409,0.033123248478766465,0.8162408120406021,0.033947262104319934
AZ-9,-33.10751,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.66553755,0.33446245,0.0,0.0,house,without_center,None,0.3812690634531727,0.6587329366468324,0.04155975189266299,0.6418570928546428,0.042026035094892195,0.8328666433321665,0.03270320911049653,0.8150657532876644,0.034031105969628155
CA-1,-24.24,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.6212,0.3788,0.0,0.0,house,without_center,None,0.18755,0.698975,0.04020713916505376,0.6568499999999999,0.04161464296432206,0.837625,0.03232626037682058,0.8217,0.03355083894557631
CA-2,44.6589,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2767055,0.7232945,0.0,0.0,house,without_center,None,0.15335766788339417,0.7686134306715335,0.03696529081160321,0.7343867193359668,0.0387131374407485,0.856042802140107,0.030770567174710252,0.8606930346517325,0.030351602735602164
CA-3,-7.48173,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.53740865,0.46259135,0.0,0.0,house,without_center,None,0.18680934046702335,0.7018850942547128,0.04009552686597768,0.6612580629031451,0.041484995070279154,0.8348667433371668,0.032545947747044925,0.8206410320516025,0.03362863436462609
CA-4,31.46477,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.3426761499999999,0.65732385,0.0,0.0,house,without_center,None,0.15895794789739487,0.7577878893944697,0.03755284341616922,0.7265363268163408,0.039070552946618056,0.8454422721136057,0.031685342860845275,0.8430421521076054,0.0318850595025367
CA-5,-16.82833,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.5841416500000001,0.41585835,0.0,0.0,house,without_center,None,0.18680934046702335,0.6897094854742738,0.04054977216219014,0.6540077003850192,0.04169612698987975,0.8229661483074153,0.03345724788590869,0.8103655182759137,0.03436134858363235
CA-6,14.1761,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.4291195,0.5708805,0.0,0.0,house,without_center,None,0.1673083654182709,0.7559627981399071,0.03764864059676428,0.7104855242762138,0.039754274099270265,0.8448422421121056,0.03173552059936804,0.8475423771188559,0.03150840014735811
CA-7,33.91067,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.3304466499999999,0.66955335,0.0,0.0,house,without_center,None,0.15990799539977,0.7592129606480325,0.03747739786561614,0.731911595579779,0.03882749728395583,0.8414670733536677,0.032014695175534104,0.8543677183859193,0.0309187773066641
CA-8,50.61904,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2469048,0.7530952,0.0,0.0,house,without_center,None,0.15090754537726886,0.7810890544527227,0.03624558249559094,0.7505625281264063,0.03792672620585618,0.8547677383869193,0.03088351193352946,0.8527676383819192,0.031059042557728646
CA-9,8.710836,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.45644582,0.54355418,0.0,0.0,house,without_center,None,0.17375868793439672,0.7217360868043402,0.03928155971847082,0.6986599329966499,0.04021910744641702,0.8429171458572928,0.03189538912964511,0.8454922746137308,0.031681153854014106
CA-10,34.2542,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.328729,0.671271,0.0,0.0,house,without_center,None,0.15895794789739487,0.7662883144157208,0.03709431745967041,0.731811590579529,0.038832085328363034,0.8510425521276064,0.03120885376716621,0.8520426021301065,0.031122184041170273
CA-11,71.46574,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.1426713,0.8573287,0.0,0.0,house,without_center,None,0.13255662783139158,0.8000400020001,0.03505891586580152,0.7760138006900344,0.03654402858013634,0.8661433071653583,0.029845990163469633,0.8699184959247963,0.029486153800097576
CA-12,76.76467,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.11617665,0.8838233499999999,0.0,0.0,house,without_center,None,0.13965698284914246,0.8006150307515376,0.03502104868745269,0.7779388969448473,0.03643175216980971,0.8674433721686085,0.029722980693959584,0.8841442072103605,0.02805378722886183
